Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Retire,NextPercentile
Tom Brady,0.2446380697050938,0.2520740268028079,0.2583436341161928,0.1926829268292683,0.1644498186215235,0.1617380808690404,0.0327575938058368,0.0372596153846153,0.0370813397129186,0.0400471142520612,0.0405569007263922,0.1630434782608695,0.1252246854403834,0.1991651759093619,0.2456973293768546,0.2545454545454545,0.1921728971962616,0.1159763313609467,0.1502683363148479,0,0.1404428904428904
Brandon Williams,0.1042287075640262,0.1033653846153846,0.1160287081339712,0.2597173144876325,0.2294188861985472,0.2524154589371981,0.10964649490713,0.1396045536249251,0.2731067382230173,0.3231961836612999,0.3210682492581602,0.2931750741839762,0.41524926686217,0.4527859237536656,0.4785923753665689,0.4725467289719626,0.4532710280373832,0.4621301775147929,0.4834319526627219,0,0.6064400715563506
Chris Harris,0.7110036275695284,0.7990343995171998,0.8802858844550328,0.8449519230769231,0.8708133971291866,0.8987043580683156,0.8801452784503632,0.8523002421307506,0.7041062801932367,0.6129227053140096,0.7040143798681845,0.8562909958258795,0.9649851632047478,0.975366568914956,0.963785046728972,0.9508875739644972,0.9272510435301132,0.9213286713286714,0.8303622771707878,0,0.7911694510739857
Adrian Peterson,0.1914486279514997,0.2354758961681087,0.4908536585365853,0.5151148730350665,0.5594447797223898,0.5086360929124479,0.4877903513996426,0.40625,0.4014423076923077,0.4419856459330143,0.4452296819787986,0.4267554479418886,0.3345410628019323,0.3079688436189335,0.2510435301132975,0.1394658753709199,0.1008797653958944,0.1536214953271028,0.2189349112426035,0,0.3070960047704233
Bruce Smith,0.4140480591497227,0.7775735294117647,0.988095238095238,0.9886792452830188,0.9774859287054408,1.0,0.9943714821763602,0.9944237918215614,0.9411764705882352,0.9924385633270322,0.9948805460750854,0.9982788296041308,0.981574539363484,0.978827361563518,0.93603744149766,0.9889705882352942,0.9785522788203752,0.98085513720485,0.9313967861557478,1,
Chris Canty,0.1021775544388609,0.2068403908794788,0.3822152886115444,0.6808823529411765,0.6394101876675603,0.4913848117421825,0.0210135970333745,0.0274390243902439,0.6463119709794438,0.692214846107423,0.7927337701012508,0.7776442307692307,0.7691387559808612,0.765017667844523,0.763317191283293,0.7958937198067633,0.8202516476932294,0.8073941562313656,0.7792284866468843,1,
Josh Thomas,0.4786585365853658,0.6299879081015719,0.6716958358479179,0.7027992852888624,0.6604567307692307,0.6190191387559809,0.519434628975265,0.4782082324455206,0.5984299516908212,0.6866387058118634,0.6535480023852117,0.5875370919881305,0.3648093841642228,0.2914719626168224,0.0343195266272189,0.0363744782349433,0.1165501165501165,0.0983323749281196,0.3389021479713603,1,
Anthony Davis,0.1689419795221843,0.3734939759036144,0.4522613065326633,0.5488599348534202,0.4118564742589704,0.6691176470588235,0.4450402144772118,0.4460753031269943,0.0210135970333745,0.0274390243902439,0.0918984280532043,0.1188895594447797,0.1155449672424061,0.0865384615384615,0.0370813397129186,0.1012956419316843,0.059322033898305,0.1998792270531401,0.1252246854403834,0,0.1991651759093619
Dexter Davis,0.1728624535315985,0.1707779886148007,0.1776937618147448,0.0784982935153583,0.0774526678141136,0.0770519262981574,0.0684039087947882,0.0717628705148206,0.0235294117647058,0.0201072386058981,0.0153158902361199,0.0210135970333745,0.0274390243902439,0.0326481257557436,0.0325890162945081,0.0327575938058368,0.0372596153846153,0.0370813397129186,0.5571260306242638,1,
Darrell Green,0.4673267326732673,0.7181467181467182,0.7985212569316081,0.8235294117647058,0.8541666666666666,0.8113207547169812,0.6566604127579737,0.6041275797373359,0.7485928705440901,0.7769516728624535,0.7817836812144212,0.7561436672967864,0.8242320819112628,0.8812392426850258,0.8894472361809045,0.8697068403908795,0.7722308892355694,0.8823529411764706,0.8478552278820375,0,0.7708998085513721
