PLAYER NAME,YEAR,YARDS,RECEPTIONS,YARDS PER RECEPTION,RECEPTIONS PER TARGET,TOUCHDOWNS,20+,40+,LONG,RECEIVING 1ST DOWNS,1ST DOWN %,FUMBLES,YARDS AFTER CATCH,TARGETS,HOWGOOD RAW SCORE,PERCENTILE
A B Brown,1989,0.006110601894286533,0.038095238095238064,0.039215686274509796,0.0,0.0,0.0,0.0,0.02597402597402597,0.0,0.0,0.0,0.0,0.0,0.10939555223806034,0.025906735751295335
A B Brown,1990,0.006110601894286533,0.038095238095238064,0.039215686274509796,0.0,0.0,0.0,0.0,0.02597402597402597,0.0,0.0,0.0,0.0,0.0,0.10939555223806034,0.026954177897574125
A B Brown,1991,0.006110601894286533,0.038095238095238064,0.039215686274509796,0.0,0.0,0.0,0.0,0.02597402597402597,0.0,0.0,0.0,0.0,0.0,0.10939555223806034,0.03359173126614987
A B Brown,1992,0.023228803716608532,0.0398009950248756,0.12626262626262627,0.0,0.0,0.013888888888888867,0.0,0.08888888888888886,0.008130081300813,0.16666666666666666,0.0,0.0,0.0,0.46686695074936785,0.07506702412868632
A J Derby,2016,0.09940975458216833,0.12698412698412695,0.16666666666666666,0.2807017543859649,0.0,0.0,0.0,0.07555555555555553,0.04487179487179487,0.2919999999999999,-0.3333333333333333,0.0381619937694704,0.023989898989898967,0.8150082124723134,0.1147227533460803
A J Derby,2017,0.2635537169097835,0.3136507936507936,0.3812479275694534,0.45143346170303805,0.08333333333333333,0.03333333333333333,0.0,0.20618618618618614,0.12635327635327634,0.6413333333333333,-0.6666666666666666,0.10555329811729647,0.08239445739445737,2.0217064512176184,0.35145631067961164
A J Derby,2018,0.29106876420127104,0.33663929939792,0.6479145942361201,0.6514334617030381,0.13095238095238093,0.03333333333333333,0.0,0.2906306306306306,0.1442104192104192,1.308,-0.6666666666666666,0.11151751282902607,0.08880471380471378,3.3678384436321864,0.5805243445692884
A J Dillon,2020,0.013023255813953466,0.015151515151515133,0.1842105263157895,0.3333333333333333,0.0,0.0,0.0,0.0730593607305936,0.0062893081761006,0.3333333333333333,0.0,0.0121765601217656,0.0025839793281653665,0.9731611723045499,0.11711711711711711
A J Dillon,2021,0.20237594788896854,0.26700336700336696,0.3515902054601745,0.6396396396396397,0.08333333333333333,0.03125,0.041666666666666664,0.30454084221207506,0.09888190076869319,0.6273333333333334,-0.3333333333333333,0.24490929285449833,0.050387596899224806,2.6095787927266407,0.42805755395683454
A J Dillon,2022,0.33341920488642396,0.4840576305692584,0.4742092530792221,0.8566939032055312,0.08333333333333333,0.03125,0.041666666666666664,0.3891179566399358,0.15548567435359884,0.8413333333333334,-0.6666666666666666,0.3867681328265458,0.10427230867867339,3.514940730905856,0.5743879472693032
