Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Norm Johnson,34,41,82.9,1/1,10/10,14/16,8/13,N/A,N/A,50,0
Morten Andersen,31,37,83.8,1/1,8/8,11/11,3/8,N/A,N/A,59,2
Steve Christie,31,40,77.5,0/0,13/14,13/15,3/6,N/A,N/A,51,0
Jason Elam,31,38,81.6,0/0,7/9,14/15,5/7,N/A,N/A,56,0
Greg Davis,30,39,76.9,1/1,13/14,9/10,6/8,N/A,N/A,55,1
Doug Pelfrey,29,36,80.6,0/0,8/9,10/11,10/14,N/A,N/A,51,1
Matt Stover,29,33,87.9,1/1,12/12,9/10,7/9,N/A,N/A,47,0
Jason Hanson 2,28,34,82.4,2/2,4/4,16/17,5/10,N/A,N/A,56,3
Chris Boniol,27,28,96.4,0/0,11/12,13/13,3/3,N/A,N/A,45,0
Al Del Greco,27,31,87.1,3/3,3/3,8/8,10/12,N/A,N/A,53,0
Eddie Murray,27,36,75,1/1,9/9,10/13,6/11,N/A,N/A,52,0
Pete Stoyanovich,27,34,79.4,1/1,7/10,11/11,6/7,N/A,N/A,51,2
John Kasay,26,33,78.8,0/0,6/6,10/14,9/12,N/A,N/A,52,2
Fuad Reveiz,26,36,72.2,1/1,8/9,7/10,9/12,N/A,N/A,51,0
Lin Elliott,24,30,80,0/0,10/11,7/9,7/10,N/A,N/A,49,0
Matt Bahr,23,33,69.7,1/2,12/12,3/7,5/7,N/A,N/A,55,1
Kevin Butler,23,31,74.2,0/0,16/19,5/6,2/4,N/A,N/A,47,1
Todd Peterson 2,23,28,82.1,1/1,5/5,9/10,8/10,N/A,N/A,49,1
Gary Anderson,22,30,73.3,0/0,5/5,9/10,8/12,N/A,N/A,43,1
John Carney,21,26,80.8,0/0,8/8,10/11,3/5,N/A,N/A,45,0
Brad Daluiso,20,28,71.4,0/0,7/7,9/10,2/9,N/A,N/A,51,3
Mike Hollis,20,27,74.1,0/0,7/9,7/8,4/7,N/A,N/A,53,2
Cary Blanchard,19,24,79.2,0/0,5/5,6/8,7/10,N/A,N/A,50,1
Doug Brien,19,29,65.5,0/0,8/8,4/7,6/12,N/A,N/A,51,0
Michael Husted,19,26,73.1,1/1,5/6,5/7,5/9,N/A,N/A,53,1
Chris Jacke,17,23,73.9,0/0,6/7,0/2,8/10,N/A,N/A,51,0
Nick Lowery,17,21,81,0/0,4/4,8/10,3/3,N/A,N/A,50,0
Jeff Jaeger,13,18,72.2,0/0,4/5,6/7,3/5,N/A,N/A,46,0
Jeff Wilkins,12,13,92.3,1/1,5/5,5/5,1/2,N/A,N/A,40,0
Dean Biasucci,9,12,75,0/0,4/4,3/4,1/1,N/A,N/A,51,0
Cole Ford,8,9,88.9,1/1,3/3,3/3,1/1,N/A,N/A,46,0
Chip Lohmiller,8,14,57.1,0/0,4/6,3/4,0/2,N/A,N/A,51,0
Steve Mclaughlin,8,16,50,1/1,4/5,2/6,1/3,N/A,N/A,45,1
Mike Cofer,4,9,44.4,0/0,2/2,0/4,1/2,N/A,N/A,52,1
Craig Hentrich,3,5,60,0/0,0/0,2/3,1/2,N/A,N/A,49,0
Tony Zendejas,3,6,50,0/0,0/0,1/3,2/3,N/A,N/A,45,1
