Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Chip Lohmiller,31,43,72.1,0/0,9/9,10/12,10/17,N/A,N/A,53,0
Pete Stoyanovich,31,37,83.8,2/2,8/8,11/12,7/10,N/A,N/A,53,0
Jeff Jaeger,29,34,85.3,3/3,7/7,10/13,7/7,N/A,N/A,53,1
Roger Ruzek,28,33,84.8,2/2,8/8,9/10,8/10,N/A,N/A,51,2
David Treadwell,27,36,75,5/5,10/10,9/12,3/9,N/A,N/A,47,3
Ken Willis,27,39,69.2,2/2,6/6,9/11,6/13,N/A,N/A,54,3
Pat Leahy,26,37,70.3,3/3,13/16,9/11,1/5,N/A,N/A,40,0
Morten Andersen,25,32,78.1,0/0,6/6,11/13,6/9,N/A,N/A,60,0
John Kasay,25,31,80.6,1/1,5/6,11/14,6/7,N/A,N/A,54,0
Nick Lowery,25,30,83.3,2/2,11/11,8/8,4/7,N/A,N/A,48,0
Gary Anderson,23,33,69.7,0/0,8/10,9/11,5/6,N/A,N/A,54,1
Jim Breech,23,29,79.3,0/0,9/10,8/10,5/6,N/A,N/A,50,1
Matt Bahr,22,29,75.9,0/0,6/6,6/8,9/12,N/A,N/A,54,1
Greg Davis,21,30,70,0/0,6/6,7/7,5/10,N/A,N/A,52,1
Kevin Butler,19,29,65.5,1/1,9/11,3/5,5/9,N/A,N/A,50,0
John Carney,19,29,65.5,1/1,6/6,6/8,4/10,N/A,N/A,54,1
Norm Johnson,19,23,82.6,0/0,9/9,4/4,5/8,N/A,N/A,50,0
Eddie Murray,19,28,67.9,1/1,3/4,8/10,5/9,N/A,N/A,50,1
Chris Jacke,18,24,75,0/0,9/9,4/5,4/9,N/A,N/A,53,0
Scott Norwood,18,29,62.1,1/1,7/8,3/7,5/9,N/A,N/A,52,1
Fuad Reveiz,17,24,70.8,0/0,9/9,3/3,3/7,N/A,N/A,50,0
Tony Zendejas,17,17,100,0/0,4/4,8/8,3/3,N/A,N/A,50,0
Matt Stover,16,22,72.7,1/2,2/3,8/9,3/6,N/A,N/A,55,1
Dean Biasucci,15,26,57.7,1/1,5/5,3/4,5/13,N/A,N/A,54,1
Steve Christie,15,20,75,1/1,4/4,7/11,3/4,N/A,N/A,49,1
Mike Cofer,14,28,50,0/0,5/5,3/10,4/10,N/A,N/A,50,3
Ian Howfield,13,18,72.2,1/1,7/7,4/6,1/2,N/A,N/A,46,0
Jason Staurovsky,13,19,68.4,1/1,2/3,9/12,1/3,N/A,N/A,42,1
Al Del Greco,10,13,76.9,1/1,4/5,2/3,2/3,N/A,N/A,52,0
Charlie Baumann,9,12,75,0/0,3/3,1/3,5/5,N/A,N/A,48,2
Raul Allegre,5,6,83.3,0/0,2/2,2/2,1/2,N/A,N/A,44,0
Brad Daluiso,2,3,66.7,0/0,2/3,0/0,0/0,N/A,N/A,23,0
Louie Aguiar,1,2,50,0/0,1/2,0/0,0/0,N/A,N/A,23,0
Lee Johnson,1,3,33.3,0/0,0/0,0/0,0/0,N/A,N/A,53,0
