Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Tony Franklin 2,32,41,78,1/1,7/7,15/17,9/16,N/A,N/A,49,1
Kevin Butler,28,41,68.3,1/1,11/14,9/12,6/8,N/A,N/A,52,2
Morten Andersen,26,30,86.7,1/1,11/11,6/7,6/6,N/A,N/A,53,0
Ray Wersching,25,35,71.4,0/0,6/6,14/18,4/9,N/A,N/A,50,2
Raul Allegre,24,32,75,0/0,10/11,8/8,6/11,N/A,N/A,46,1
Norm Johnson,22,35,62.9,0/0,6/8,8/9,3/11,N/A,N/A,54,1
Chuck Nelson,22,28,78.6,0/0,7/8,9/10,4/7,N/A,N/A,53,2
Tony Zendejas,22,27,81.5,1/1,7/7,7/9,6/7,N/A,N/A,51,0
Gary Anderson,21,32,65.6,0/1,6/7,6/7,9/14,N/A,N/A,45,1
Chris Bahr,21,28,75,3/3,6/6,6/9,5/8,N/A,N/A,52,2
Matt Bahr,20,26,76.9,4/4,7/9,7/8,1/2,N/A,N/A,52,1
Rich Karlis,20,28,71.4,0/0,3/4,8/8,8/14,N/A,N/A,51,0
Paul Mcfadden,20,31,64.5,0/0,6/6,10/12,3/10,N/A,N/A,50,1
Nick Lowery,19,26,73.1,1/1,5/6,5/5,8/13,N/A,N/A,47,1
Eddie Murray,18,25,72,2/2,1/2,7/8,6/8,N/A,N/A,52,0
Jim Breech,17,32,53.1,1/2,4/5,5/7,5/14,N/A,N/A,51,1
Al Del Greco,17,27,63,0/0,8/8,4/6,3/9,N/A,N/A,50,2
Donald Igwebuike,17,24,70.8,0/0,5/5,7/8,3/6,N/A,N/A,55,1
Mike Lansford,17,24,70.8,1/1,5/6,6/9,4/6,N/A,N/A,50,1
Scott Norwood,17,27,63,1/1,6/6,7/7,3/8,N/A,N/A,48,1
Rolf Benirschke,16,25,64,1/1,6/9,5/8,3/5,N/A,N/A,50,2
Pat Leahy,16,19,84.2,1/1,5/5,4/4,5/8,N/A,N/A,50,1
Rafael Septien,15,21,71.4,0/0,4/5,6/7,4/7,N/A,N/A,50,0
Mick Luckhurst,14,24,58.3,1/1,1/2,5/7,7/11,N/A,N/A,49,2
Fuad Reveiz,14,22,63.6,1/1,5/5,4/6,3/8,N/A,N/A,52,1
Dean Biasucci,13,25,52,0/0,4/4,2/5,5/8,N/A,N/A,52,0
Mark Moseley,12,19,63.2,2/2,5/6,4/5,1/6,N/A,N/A,45,1
Ali Haji Sheikh,9,12,75,1/1,3/3,2/4,3/3,N/A,N/A,47,0
Max Zendejas,9,14,64.3,0/0,5/5,2/3,2/4,N/A,N/A,42,0
John Lee,8,13,61.5,0/0,2/3,5/6,1/4,N/A,N/A,47,0
Steve Cox,3,6,50,0/0,0/0,0/0,1/1,N/A,N/A,57,0
Eric Schubert,3,11,27.3,0/0,2/2,0/4,1/5,N/A,N/A,46,1
Joe Cooper,2,4,50,0/0,2/2,0/1,0/1,N/A,N/A,21,0
Jess Atkinson,0,0,0,0/0,0/0,0/0,0/0,N/A,N/A,0,0
Rick Donnelly,0,0,0,0/0,0/0,0/0,0/0,N/A,N/A,0,0
Bob Thomas,0,1,0,0/0,0/0,0/1,0/0,N/A,N/A,0,0
