Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
John Carney,34,38,89.5,0/0,12/12,15/15,5/9,N/A,N/A,50,0
Fuad Reveiz,34,39,87.2,0/0,13/13,12/13,8/10,N/A,N/A,51,0
Jason Elam,30,37,81.1,0/0,11/11,11/11,7/12,N/A,N/A,54,1
Morten Andersen,28,39,71.8,0/0,9/9,11/14,8/10,N/A,N/A,48,3
Doug Pelfrey,28,33,84.8,1/1,8/8,8/10,9/10,N/A,N/A,54,0
Matt Bahr,27,34,79.4,0/0,14/14,9/12,4/8,N/A,N/A,48,0
Matt Stover,26,28,92.9,1/1,7/7,10/11,8/8,N/A,N/A,45,0
Lin Elliott,25,30,83.3,3/3,15/17,4/6,3/4,N/A,N/A,49,1
Gary Anderson,24,29,82.8,1/1,7/8,8/9,7/9,N/A,N/A,50,0
Steve Christie,24,28,85.7,0/0,11/12,6/7,5/7,N/A,N/A,52,1
Pete Stoyanovich,24,31,77.4,1/1,8/8,6/10,8/10,N/A,N/A,50,0
Michael Husted,23,35,65.7,0/0,8/8,10/12,4/10,N/A,N/A,53,1
Chris Boniol,22,29,75.9,3/3,3/4,10/12,6/9,N/A,N/A,47,2
Jeff Jaeger,22,28,78.6,1/1,5/5,6/9,8/11,N/A,N/A,51,1
Kevin Butler,21,29,72.4,1/1,7/7,6/9,5/8,N/A,N/A,52,1
Norm Johnson,21,25,84,0/0,9/9,7/7,4/4,N/A,N/A,50,1
Eddie Murray,21,25,84,1/1,8/8,10/10,2/6,N/A,N/A,42,0
Greg Davis,20,26,76.9,0/0,10/11,3/4,6/7,N/A,N/A,51,0
John Kasay,20,24,83.3,1/1,1/1,11/11,6/9,N/A,N/A,50,0
Chip Lohmiller,20,28,71.4,0/0,9/11,5/6,5/8,N/A,N/A,54,1
Nick Lowery,20,23,87,0/0,8/8,6/7,6/8,N/A,N/A,49,0
Chris Jacke,19,26,73.1,1/1,11/11,4/6,2/5,N/A,N/A,50,1
Jason Hanson 2,18,27,66.7,0/0,6/7,7/7,5/8,N/A,N/A,49,2
Tony Zendejas,18,23,78.3,2/2,9/9,6/7,1/5,N/A,N/A,47,2
Dean Biasucci,16,24,66.7,1/1,5/5,3/7,5/9,N/A,N/A,50,3
Al Del Greco,16,20,80,0/0,4/5,4/4,7/8,N/A,N/A,50,0
Doug Brien,15,20,75,1/1,4/4,5/6,5/8,N/A,N/A,48,0
Brad Daluiso,11,11,100,2/2,1/1,5/5,2/2,N/A,N/A,52,0
David Treadwell,11,17,64.7,1/1,5/5,4/7,1/4,N/A,N/A,41,1
Todd Peterson 2,2,4,50,0/0,1/1,1/1,0/2,N/A,N/A,35,0
Pat O Neill,0,1,0,0/0,0/0,0/0,0/1,N/A,N/A,0,0
